uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
P36405,,,,"SUBCELLULAR LOCATION: Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, spindle. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm. Cell projection, cilium {ECO:0000269|PubMed:30269812}. Note=Detected predominantly in the photoreceptor connecting cilium. Present on the mitotic spindle. Centrosome-associated throughout the cell cycle. Not detected to interphase microtubules."
P36954,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:9852112}."
P38432,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7679389}. Nucleus, Cajal body {ECO:0000269|PubMed:16079131, ECO:0000269|PubMed:22547674, ECO:0000269|PubMed:23726919, ECO:0000269|PubMed:7679389}."
P38919,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10623621, ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:22961380, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:29301961}. Nucleus speckle {ECO:0000269|PubMed:10623621}. Cytoplasm {ECO:0000250|UniProtKB:Q3B8Q2}. Note=Nucleocytoplasmic shuttling protein. Travels to the cytoplasm as part of the exon junction complex (EJC) bound to mRNA. Detected in dendritic layer as well as the nuclear and cytoplasmic (somatic) compartments of neurons. Colocalizes with STAU1 and FMR1 in dendrites (By similarity). {ECO:0000250|UniProtKB:Q3B8Q2}."
P40337,,,,"SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:9751722}. Cell membrane {ECO:0000269|PubMed:19584355}; Peripheral membrane protein {ECO:0000269|PubMed:9751722}. Endoplasmic reticulum {ECO:0000269|PubMed:12169691, ECO:0000269|PubMed:34290272}. Nucleus {ECO:0000269|PubMed:9751722}. Note=Found predominantly in the cytoplasm and with less amounts nuclear or membrane-associated (PubMed:9751722). Colocalizes with ADRB2 at the cell membrane (PubMed:19584355). {ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:9751722}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:9751722}. Nucleus {ECO:0000269|PubMed:9751722}. Note=Equally distributed between the nucleus and the cytoplasm but not membrane-associated. {ECO:0000269|PubMed:9751722}."
P40617,,,,"SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus, nucleolus. Note=Localization in the nucleolus is dependent by nucleotide binding."
P42345,,,,"SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:18497260, ECO:0000269|PubMed:20381137, ECO:0000269|PubMed:29750193, ECO:0000269|PubMed:30956113, ECO:0000269|PubMed:31112131, ECO:0000269|PubMed:31601764, ECO:0000269|PubMed:37057673}; Peripheral membrane protein {ECO:0000269|PubMed:30956113, ECO:0000269|PubMed:31112131}; Cytoplasmic side {ECO:0000269|PubMed:30956113, ECO:0000269|PubMed:31112131}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:14578359}; Peripheral membrane protein {ECO:0000269|PubMed:14578359}; Cytoplasmic side {ECO:0000269|PubMed:14578359}. Golgi apparatus membrane {ECO:0000269|PubMed:14578359}; Peripheral membrane protein {ECO:0000269|PubMed:14578359}; Cytoplasmic side {ECO:0000269|PubMed:14578359}. Cell membrane {ECO:0000269|PubMed:21867682}; Peripheral membrane protein {ECO:0000269|PubMed:14578359}. Mitochondrion outer membrane {ECO:0000269|PubMed:11930000, ECO:0000269|PubMed:14578359}; Peripheral membrane protein {ECO:0000269|PubMed:11930000, ECO:0000269|PubMed:14578359}; Cytoplasmic side {ECO:0000269|PubMed:11930000, ECO:0000269|PubMed:14578359}. Cytoplasm {ECO:0000269|PubMed:11930000, ECO:0000269|PubMed:18497260}. Nucleus {ECO:0000250|UniProtKB:Q9JLN9}. Nucleus, PML body {ECO:0000250|UniProtKB:Q9JLN9}. Microsome membrane {ECO:0000269|PubMed:9434772}. Cytoplasmic vesicle, phagosome {ECO:0000269|PubMed:27623384}. Note=Shuttles between cytoplasm and nucleus. Accumulates in the nucleus in response to hypoxia (By similarity). Targeting to lysosomes depends on amino acid availability and RRAGA and RRAGB (PubMed:18497260, PubMed:20381137). Lysosome targeting also depends on interaction with MEAK7. Translocates to the lysosome membrane in the presence of TM4SF5 (PubMed:30956113). The mTORC2 complex localizes to membranes: mTORC2 is active at the plasma membrane, endoplasmic reticulum membrane and lysosomes (PubMed:21867682). {ECO:0000250|UniProtKB:Q9JLN9, ECO:0000269|PubMed:18497260, ECO:0000269|PubMed:20381137, ECO:0000269|PubMed:21867682, ECO:0000269|PubMed:29750193, ECO:0000269|PubMed:30956113}."
P27348,,,,"SUBCELLULAR LOCATION: Cytoplasm. Note=In neurons, axonally transported to the nerve terminals."
P27544,,"TRANSMEM 53..73; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 103..123; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 239..259; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 287..307; /note=""Helical""; /evidence=""ECO:0000255""",,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:24782409}; Multi-pass membrane protein {ECO:0000255}.
P27986,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32606397}.
P28066,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Nucleus {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000269|PubMed:34711951}."
P28472,"SIGNAL 1..25; /evidence=""ECO:0000255""","TRANSMEM 247..267; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 272..292; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 305..328; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 448..470; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""","TOPO_DOM 26..246; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:24909990""; TOPO_DOM 268..271; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:24909990""; TOPO_DOM 293..304; /note=""Extracellular""; /evidence=""ECO:0000269|PubMed:24909990""; TOPO_DOM 329..447; /note=""Cytoplasmic""; /evidence=""ECO:0000269|PubMed:24909990""; TOPO_DOM 471..473; /note=""Extracellular""; /evidence=""ECO:0000305""","SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein {ECO:0000269|PubMed:24909990, ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7}. Cell membrane {ECO:0000269|PubMed:18281286, ECO:0000269|PubMed:18514161, ECO:0000269|PubMed:22243422, ECO:0000269|PubMed:22303015, ECO:0000269|PubMed:24909990, ECO:0000269|PubMed:26950270}; Multi-pass membrane protein {ECO:0000269|PubMed:24909990, ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P63079}."
P30291,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8348613}.
P31751,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17565718, ECO:0000269|PubMed:23444369}. Nucleus {ECO:0000269|PubMed:17565718}. Cell membrane; Peripheral membrane protein. Early endosome {ECO:0000250|UniProtKB:Q60823}. Note=Through binding of the N-terminal PH domain to phosphatidylinositol (3,4,5)-trisphosphate (PtdIns(3,4,5)P3) or phosphatidylinositol (3,4)-bisphosphate (PtdIns(3,4)P2), recruited to the plasma membrane. Cell membrane recruitment is facilitated by interaction with CLIP3. Colocalizes with WDFY2 in early endosomes (By similarity). Localizes within both nucleus and cytoplasm in proliferative primary myoblasts and mostly within the nucleus of differentiated primary myoblasts (PubMed:17565718). {ECO:0000250|UniProtKB:Q60823, ECO:0000269|PubMed:17565718}."
P34932,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P35222,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22294297, ECO:0000269|PubMed:25183871, ECO:0000269|PubMed:29739711, ECO:0000269|PubMed:29910125, ECO:0000269|PubMed:31801859}. Nucleus {ECO:0000269|PubMed:21118991, ECO:0000269|PubMed:24342833, ECO:0000269|PubMed:25183871, ECO:0000269|PubMed:28829046, ECO:0000269|PubMed:29367600, ECO:0000269|PubMed:29739711, ECO:0000269|PubMed:29910125, ECO:0000269|PubMed:30714168, ECO:0000269|PubMed:31801859}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:B6V8E6}. Cell junction, adherens junction {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:22294297}. Cell junction {ECO:0000250|UniProtKB:B6V8E6}. Cell membrane {ECO:0000269|PubMed:11790773, ECO:0000269|PubMed:24342833}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle pole. Synapse {ECO:0000250|UniProtKB:Q02248}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q02248}. Note=Colocalized with RAPGEF2 and TJP1 at cell-cell contacts (By similarity). Cytoplasmic when it is un-stable (highly phosphorylated) or bound to CDH1. Translocates to the nucleus when it is stabilized (low level of phosphorylation). Interaction with GLIS2 and MUC1 promotes nuclear translocation. Interaction with EMD inhibits nuclear localization. The majority of CTNNB1 is localized to the cell membrane. In interphase, colocalizes with CROCC between CEP250 puncta at the proximal end of centrioles, and this localization is dependent on CROCC and CEP250. In mitosis, when NEK2 activity increases, it localizes to centrosomes at spindle poles independent of CROCC. Colocalizes with CDK5 in the cell-cell contacts and plasma membrane of undifferentiated and differentiated neuroblastoma cells. Interaction with FAM53B promotes translocation to the nucleus (PubMed:25183871). Translocates to the nucleus in the presence of SNAIL1 (By similarity). Ca(2+)-mediated localization to the cell membrane in dental epithelial cells is inhibited via WNT3A (By similarity). Localizes to cell-cell contacts as keratinocyte differentiation progresses (By similarity). {ECO:0000250|UniProtKB:B6V8E6, ECO:0000250|UniProtKB:Q02248, ECO:0000269|PubMed:25183871}."
P35269,,,,SUBCELLULAR LOCATION: Nucleus.
P35580,,,,"SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000269|PubMed:20052411, ECO:0000269|PubMed:22480440}. Note=Colocalizes with MCC at the leading edge of migrating cells.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:25428876}. Note=(Microbial infection) Localizes at the surface of the cell membrane following infection by herpes simplex virus 1/HHV-1,. {ECO:0000305|PubMed:25428876}."
P36383,,"TRANSMEM 23..45; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 76..95; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..198; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 229..248; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..22; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 46..75; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 96..175; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 199..228; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 249..396; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19864490}; Multi-pass membrane protein {ECO:0000255}. Cell junction, gap junction {ECO:0000269|PubMed:19864490}."
P36507,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10409742}. Membrane {ECO:0000269|PubMed:10409742}; Peripheral membrane protein {ECO:0000269|PubMed:10409742}. Note=Membrane localization is probably regulated by its interaction with KSR1. {ECO:0000269|PubMed:10409742}.
P38159,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19282290, ECO:0000269|PubMed:21327109, ECO:0000269|PubMed:37277488}. Note=Component of ribonucleosomes. Localizes in numerous small granules in the nucleus."
P40306,,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.
P42166,,,,SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Expressed diffusely throughout the nucleus.
P42338,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21383062, ECO:0000269|PubMed:32606397}. Nucleus {ECO:0000269|PubMed:21383062}. Note=Interaction with PIK3R2 is required for nuclear localization and export."
P30260,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18445686}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18445686}."
P40616,,,,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:11303027, ECO:0000269|PubMed:12972563}; Peripheral membrane protein {ECO:0000269|PubMed:11303027}; Cytoplasmic side {ECO:0000269|PubMed:11303027}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21239483, ECO:0000269|PubMed:27373159, ECO:0000269|PubMed:27436755}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}."
